pl_name,hostname,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,sy_dist
HD 15337 b,HD 15337,0.05245,1.77,6.519,6.458,0.058,161.7314,1001.0,44.8155
HD 15337 c,HD 15337,0.1235,2.526,6.792,2.303,0.096,29.1782,656.1,44.8155
HD 15906 b,HD 15906,0.09,2.24,5.65,2.76,0.11,33.14,668.0,45.5621
HD 15906 c,HD 15906,0.141,2.93,8.91,1.95,0.04,13.37,532.0,45.5621
HD 164922 c,HD 164922,0.341,3.66,13.0,1.46,0.12,6.29,400.5,22.0016
HD 183579 b,HD 183579,0.1322,3.49,20.4,2.65,0.061,58.1,752.0,57.2651
HD 18599 b,HD 18599,0.048,2.6,24.1,7.5,0.34,145.0,863.0,38.5653
HD 189733 b,HD 189733,0.03126,12.66617,359.1479,0.943,0.0,356.0,1209.0,19.7638
HD 191939 b,HD 191939,0.0804,3.41,10.0,1.4,0.031,100.0,880.0,53.6089
HD 191939 c,HD 191939,0.1752,3.195,8.0,1.35,0.034,21.0,600.0,53.6089
HD 191939 d,HD 191939,0.2132,2.995,2.8,0.57,0.031,14.3,540.0,53.6089
HD 191939 e,HD 191939,0.407,13.0,112.2,0.281,0.031,3.9,390.0,53.6089
HD 191939 g,HD 191939,0.812,3.74,13.5,1.42,0.03,0.99,278.0,53.6089
HD 202772 A b,HD 202772 A,0.05208,17.317905,323.23311,0.343,0.038,3440.0,2132.0,161.498
HD 20329 b,HD 20329,0.018,1.72,7.42,8.06,0.0,3474.0,2141.0,63.6796
HD 207496 b,HD 207496,0.0629,2.25,6.1,3.17,0.231,72.9,743.0,23.606
HD 207897 b,HD 207897,0.117,2.34302132,14.8,6.29,0.0,26.5,581.75,28.2938
HD 209458 b,HD 209458,0.04707,15.58051,232.0159,0.362,0.0,587.098,1459.0,48.3016
HD 213885 b,HD 213885,0.02012,1.745,8.83,9.15,0.0,1882.94,2128.0,48.0883
HD 219134 b,HD 219134,0.03876,1.602,4.74,6.34,0.0,176.2,1015.0,6.53127
HD 219134 c,HD 219134,0.0653,1.511,4.36,6.95,0.062,62.1,782.0,6.53127
HD 219666 b,HD 219666,0.06356,4.898,17.6,0.87,0.05,64.2648,1076.0,94.1719
HD 221416 b,HD 221416,0.1228,9.17,60.5,0.431,0.115,91.6542,789.15,95.5483
HD 23472 b,HD 23472,0.1162,2.0,8.32,6.15,0.072,16.0,543.0,39.0341
HD 23472 c,HD 23472,0.1646,1.87,3.41,3.1,0.063,7.96,467.0,39.0341
HD 23472 d,HD 23472,0.04298,0.75,0.55,7.5,0.07,117.0,909.0,39.0341
HD 23472 e,HD 23472,0.068,0.818,0.72,7.5,0.07,46.7,723.0,39.0341
HD 23472 f,HD 23472,0.0906,1.137,0.77,3.0,0.07,26.3,630.0,39.0341
HD 235088 b,HD 235088,0.0706,1.982,4.15,2.922216,0.0,70.0,805.0,41.1706
HD 238090 b,HD 238090,0.0932,2.52,6.89,2.37,0.3,8.1,469.6,15.2354
HD 25463 b,HD 25463,0.076,2.54535814,8.7,2.87,0.0,461.4,1198.46,45.6181
HD 25463 c,HD 25463,0.0443,1.36354953,4.3,9.09,0.0,1413.5,1585.57,45.6181
HD 260655 b,HD 260655,0.02933,1.24,2.14,6.2,0.039,42.2,709.0,10.0055
HD 260655 c,HD 260655,0.04749,1.533,3.09,4.7,0.038,16.1,557.0,10.0055
HD 2685 b,HD 2685,0.0568,16.14096,371.8611,0.486,0.091,1436.49,2061.0,196.852
